Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
284,150222774,KA01F8860,284/5-All Days,8494930821
KIAS-8C,150219661,KA57F0200,KIAS-8C/1-All Days,9987887849
KIAS-9,150221137,KA01F9501,KIAS-9/6-All Days,9987887706
KIAS-9,150221180,KA57F0203,KIAS-9/11-All Days,9987887746
V-195,150219914,KA01F3926,V-195/3-All Days,9987892394
V-335E,150220874,KA01F8797,V-335E/23-Week Days,9987893818
V-335E,150220969,KA01FA1336,V-335E/2-All Days,9987892717
KIAS-9,150221184,KA57F0332,KIAS-9/7-All Days,9987887756
KIAS-9,150221430,KA57F0321,KIAS-9/9-All Days,9987889047
KIAS-9,150221517,KA01F9502,KIAS-9/8-All Days,9987887960
KIAS-9,150221683,KA01F9499,KIAS-9/2-All Days,9987889024
V-360B,150221311,KA01FA1748,V-360B/36-All Days,9987893970
V-365,150219789,KA57F0969,V-365/26-Holiday,9987898161
KIAS-8C,150219262,KA57F1348,KIAS-8C/3-All Days,9987895021
V-335E,150220979,KA57F1175,V-335E/10-Holiday,9987897819
V-356C,150221216,KA57F0970,V-356C/15-Week Days,9987893251
V-319CT,150221411,KA57F1263,V-319CT/6-Holiday,9987894126
V-505A,150221070,KA57F1185,V-505A/4-Week Days,8828031291
KIAS-12,150221596,KA57F0318,KIAS-12/1-All Days,8828031281
V-356,150219429,KA57F1101,V-356/14-Holiday,8828031030
V-360B,150220638,KA01F9069,V-360B/16-All Days,8828028663
V-500D,150221781,KA01F4409,V-500D/42-All Days,8828031034
KIAS-7A,150221477,KA57F0133,KIAS-7A/4-All Days,8828031245
KIAS-7A,150220481,KA57F0237,KIAS-7A/1-All Days,8828031301
V-500FA,150221178,KA01FA2327,V-500FA/4-All Days,8828028682
V-360B,150221893,KA01FA1637,V-360B/12-All Days,8828031249
KIAS-8,150218179,KA57F0224,KIAS-8/9-All Days,8828028710
V-500K,150220795,KA01FA2330,V-500K/21-All Days,8828031048
V-500CA,150218149,KA01F9587,V-500CA/4-Week Days,8828031280
V-500D,150220134,KA01F4408,V-500D/28-All Days,8828030992
V-201R,150220623,KA01FA2295,V-201R/11-All Days,8828031047
V-500K,150219916,KA01F4382,V-500K/19-All Days,8828028639
KIAS-7,150221407,KA57F0223,KIAS-7/4-All Days,8828031039
V-500W,150220325,KA01F9003,V-500W/3-Week Days,8828031054
V-342F,150218351,KA01F8836,V-342F/4-Holiday,8828028635
V-342F,150222286,KA01FA1348,V-342F/8-All Days,8828028713
V-201R,150221818,KA57F0912,V-201R/22-Week Days,8828031292
V-356C,150220785,KA01F4613,V-356C/13-All Days,8828031045
KIAS-12,150222935,KA57F0153,KIAS-12/6-All Days,8828028711
V-356,150219240,KA57F1102,V-356/15-Holiday,9867359779
V-500D,150220401,KA57F1137,V-500D/53-Week Days,8828031289
KIAS-12,150222162,KA57F0154,KIAS-12/5-All Days,8828031282
KIAS-7,150220662,KA57F0227,KIAS-7/3-All Days,8828031268
V-360B,150219316,KA01FA1366,V-360B/8-All Days,8828028637
KIAS-7A,150219609,KA57F0316,KIAS-7A/3-All Days,8828031248
KIAS-8,150221690,KA57F0317,KIAS-8/10-All Days,8828031259
V-500D,150221658,KA57F0967,V-500D/29-Week Days,8828028662
KIAS-12,150218235,KA57F0155,KIAS-12/3-All Days,8828031058
V-360B,150220335,KA01F4608,V-360B/30-Week Days,8828031075
V-360B,150220222,KA01FA1742,V-360B/21-Week Days,8828031257
V-342F,150221162,KA01F4525,V-342F/10-All Days,8828031253
V-500D,150219307,KA01FA2041,V-500D/20-All Days,9987863596
V-362E,150221183,KA01FA1609,V-362E/1-All Days,8828031162
V-500CA,150219357,KA01F4610,V-500CA/6-Holiday,9987862392
V-500BC,150221185,KA01FA1927,V-500BC/2-All Days,8828031175
V-500D,150220627,KA01FA1610,V-500D/19-All Days,9987863645
V-335PE,150220354,KA57F0998,V-335PE/1-Week Days,8828031098
KIAS-8,150220230,KA57F1181,KIAS-8/14-All Days,8828031343
V-500D,150219612,KA57F0907,V-500D/5-Holiday,9987862947
V-500D,150219339,KA57F0823,V-500D/4-Holiday,8828031270
V-500D,150220910,KA57F0792,V-500D/36-Week Days,9987863718
V-500E,150221367,KA01FA1853,V-500E/5-All Days,8828031142
V-500D,150221404,KA01FA1814,V-500D/25-All Days,9987863218
V-500D,150221047,KA57F0822,V-500D/34-Holiday,8828031105
V-500A,150221456,KA01FA2055,V-500A/27-All Days,9987862426
V-335PE,150220120,KA01FA1946,V-335PE/8-All Days,8828031339
V-500CA,150221312,KA01F9094,V-500CA/36-All Days,8828031173
V-500D,150221655,KA01FA1851,V-500D/49-All Days,8828031231
V-500D,150219685,KA01FA1551,V-500D/10-All Days,8828031304
V-500D,150221065,KA57F0124,V-500D/45-Holiday,9987862809
V-335PE,150220984,KA01FA1842,V-335PE/5-All Days,8828031342
V-500E,150220685,KA01FA1818,V-500E/1-All Days,9987862479
V-276,150220975,KA01FA1550,V-276/1-Week Days,9987862758
V-500D,150220081,KA57F0994,V-500D/35-Holiday,8828031086
V-333P,150219989,KA01FA1930,V-333P/4-All Days,8828031092
V-502G,150220381,KA01FA2270,V-502G/6-All Days,8828031325
V-362E,150219727,KA01FA1929,V-362E/3-All Days,9987862458
V-500D,150221918,KA01FA1751,V-500D/6-All Days,9987863585
V-500D,150221591,KA57F0793,V-500D/27-Week Days,9987862539
V-500DF,150221376,KA57F1182,V-500DF/2-All Days,9987862556
V-500E,150220195,KA01FA2043,V-500E/6-All Days,8828031321
V-335PE,150220517,KA01FA2273,V-335PE/6-All Days,8828031035
V-500D,150220865,KA01F9096,V-500D/8-All Days,8828031104
V-502G,150221901,KA01FA2267,V-502G/5-All Days,9987862859
V-500D,150221712,KA57F1117,V-500D/16-Holiday,8828031137
V-335EK,150218349,KA01F4526,V-335EK/14-All Days,9987863708
V-500A,150218024,KA01F9124,V-500A/25-Holiday,9987862591
V-500D,150221301,KA01FA1925,V-500D/46-All Days,9987863290
KIAS-8,150220793,KA57F1073,KIAS-8/2-All Days,8828031326
V-335Y,150220182,KA01FA2263,V-335Y/4-All Days,8828031157
V-250ZA,150220818,KA57F0903,V-250ZA/1-Week Days,9987863395
V-335E,150221036,KA01FA1762,V-335E/15-Week Days,9987863553
V-500D,150219407,KA57F1211,V-500D/54-Week Days,8828031126
V-500D,150218011,KA57F1184,V-500D/12-Holiday,9987862837
KIAS-5,150221239,KA57F0187,KIAS-5/4-All Days,9987869296
V-201R,150221278,KA57F0122,V-201R/14-Holiday,8828031091
V-500N,150222239,KA57F0037,V-500N/2-Holiday,8828031097
V-201R,150221704,KA01FA2264,V-201R/7-All Days,8828031309
C-500F,150220451,KA01FA2021,C-500F/2-All Days,9987869683
V-500K,150220131,KA01F4415,V-500K/9-All Days,9987875439
V-500K,150221967,KA01F8957,V-500K/28-All Days,9987875219
KIAS-5,150222050,KA57F0279,KIAS-5/3-All Days,9987846405
KIAS-5,150218284,KA57F0995,KIAS-5/1-All Days,8828031341
V-500K,150219306,KA01F9550,V-500K/4-Week Days,9987862618
V-201R,150221218,KA01F9113,V-201R/15-Holiday,8828031329
V-45G,150219378,KA01F8862,V-45G/1-Week Days,8828031134
C-500CK,150221243,KA01F4403,C-500CK/8-All Days,9987874789
V-331A,150221685,KA01FA2017,V-331A/5-All Days,8828031322
V-500A,150220044,KA01FA1612,V-500A/8-All Days,9987863650
V-331A,150221615,KA01FA1687,V-331A/8-All Days,8828031106
V-502G,150220209,KA01F4325,V-502G/2-All Days,8828031182
V-500CA,150220596,KA01FA2107,V-500CA/27-Holiday,9987862318
KIAS-5,150218177,KA57F0189,KIAS-5/8-All Days,9987873841
V-600NL,150220257,KA01FA1679,V-600NL/6-All Days,9987871328
KIAS-5,150221862,KA57F0299,KIAS-5/5-All Days,9987869938
V-335EK,150219239,KA57F0008,V-335EK/8-Holiday,9987873192
V-600K,150221452,KA57F0849,V-600K/1-Week Days,9987865949
V-201R,150220307,KA01FA1617,V-201R/17-All Days,9987874272
V-342F,150220338,KA01FA2294,V-342F/1-All Days,8828031294
V-500K,150221002,KA01F4321,V-500K/35-Week Days,8828028661
V-500KM,150220133,KA01F4412,V-500KM/1-All Days,8828028703
V-500CA,150220779,KA01FA1365,V-500CA/15-All Days,8828031299
V-331A,150220841,KA57F0906,V-331A/2-Week Days,8828031330
V-250ZA,150220750,KA57F1200,V-250ZA/2-Week Days,8828031044
V-335Y,150218111,KA01F4528,V-335Y/1-All Days,9987862516
V-500D,150221291,KA01FA1952,V-500D/14-All Days,9987862850
V-285M,150219486,KA57F0968,V-285M/2-All Days,9987862407
V-333Z,150221887,KA01FA1850,V-333Z/3-All Days,9987863284
V-500D,150219667,KA01F9561,V-500D/55-Week Days,9987863458
V-335Y,150220149,KA01F8835,V-335Y/2-All Days,8828031127
V-285M,150221495,KA57F0973,V-285M/3-All Days,8828031170
V-500KE,150221383,KA01F9025,V-500KE/6-Week Days,8828031250
KIAS-12,150222230,KA57F0235,KIAS-12/2-All Days,8828031080
V-500D,150221171,KA01F4379,V-500D/44-All Days,8828031255
V-342F,150221664,KA01FA1405,V-342F/9-All Days,8828028681
V-500CK,150219400,KA57F1136,V-500CK/18-All Days,9987874881
V-500CA,150220172,KA57F1208,V-500CA/1-All Days,9987868194
V-335E,150221225,KA57F1288,V-335E/38-All Days,9987867628
V-335E,150222180,KA57F1187,V-335E/58-All Days,9987875018
KIAS-6,150221014,KA57F0136,KIAS-6/4-All Days,9987867547
KIAS-6,150219603,KA57F0280,KIAS-6/5-All Days,9987868041
V-502G,150221342,KA57F0848,V-502G/3-All Days,9987867502
V-335E,150222343,KA57F1287,V-335E/42-All Days,9987867019
V-335E,150220147,KA57F0910,V-335E/43-All Days,9987874844
V-500CA,150221538,KA57F1210,V-500CA/3-All Days,9987867985
V-335E,150220609,KA57F1280,V-335E/24-All Days,9987867708
KIAS-4,150218123,KA57F0329,KIAS-4/6-All Days,9987867456
V-335E,150219650,KA57F1250,V-335E/30-All Days,9987868253
KIAS-4,150220759,KA57F0323,KIAS-4/1-All Days,9987868241
KIAS-4,150220197,KA57F0330,KIAS-4/7-All Days,9987867144
V-365J,150221287,KA01FA1848,V-365J/4-All Days,9987873679
V-500K,150220063,KA01FA1538,V-500K/3-All Days,9987874209
V-500CA,150221518,KA01FA1537,V-500CA/38-All Days,9987862521
V-500K,150222141,KA57F1195,V-500K/1-Holiday,9987869470
V-600NL,150218189,KA57F1277,V-600NL/3-All Days,9987863452
V-500KC,150221466,KA01FA1813,V-500KC/1-Week Days,9987865972
V-600K,150220153,KA01F9111,V-600K/2-Week Days,9987871924
V-500K,150220295,KA57F0908,V-500K/27-Week Days,8828031269
V-365,150221224,KA01FA1747,V-365/7-All Days,9987874207
V-500K,150221213,KA57F0900,V-500K/38-Holiday,8828031319
V-500KR,150220269,KA57F0039,V-500KR/2-Week Days,9987863846
V-335E,150221605,KA01FA1700,V-335E/55-All Days,9987874640
V-500W,150220136,KA57F0123,V-500W/6-Week Days,9987862709
V-500CK,150219405,KA01FA1743,V-500CK/17-All Days,9987865766
V-600NL,150220085,KA01F4602,V-600NL/5-All Days,9987862297
V-365J,150220389,KA01FA1947,V-365J/1-All Days,8828031308
V-600KB,150220798,KA01F9114,V-600KB/1-Holiday,9987862623
V-365P,150220348,KA57F0010,V-365P/1-Week Days,8828031090
V-500A,150221650,KA57F0121,V-500A/5-Holiday,9987862672
V-365,150221297,KA01FA2013,V-365/16-All Days,9987869883
KIAS-5,150220139,KA57F0322,KIAS-5/2-All Days,8828031176
V-201R,150221418,KA01F9010,V-201R/9-All Days,9987869736
V-500K,150222184,KA01F8956,V-500K/14-Week Days,9987873814
V-500CA,150220151,KA01F9110,V-500CA/17-Week Days,8828031029
V-411GT,150218315,KA01FA1418,V-411GT/3-All Days,8828031036
V-356Q,150220834,KA01F9125,V-356Q/3-Holiday,8828031265
V-500D,150219203,KA01F4323,V-500D/32-All Days,8828031258
KIAS-7,150221881,KA57F0131,KIAS-7/2-All Days,8828031244
V-500A,150220632,KA01FA1841,V-500A/15-Week Days,9987869127
V-500CK,150221592,KA01FA1678,V-500CK/7-All Days,9987865770
V-500A,150221434,KA57F0120,V-500A/2-Week Days,9987865794
V-335T,150221186,KA57F1076,V-335T/6-Week Days,9987863819
V-500D,150221684,KA01FA2291,V-500D/40-All Days,8828031290
V-360B,150221737,KA01F4324,V-360B/7-All Days,8828028689
V-500CK,150219786,KA57F1135,V-500CK/2-Week Days,9987873596
V-500KM,150220850,KA01F4517,V-500KM/2-All Days,8828028675
V-500A,150221529,KA01FA1572,V-500A/9-All Days,9987862447
V-500E,150218341,KA01FA1595,V-500E/3-All Days,9987863685
V-335E,150221705,KA57F1281,V-335E/28-All Days,9987867432
V-335E,150221286,KA57F0966,V-335E/41-All Days,9987868116
V-500KE,150219274,KA57F1046,V-500KE/3-All Days,9987867495
KIAS-6,150220994,KA57F0138,KIAS-6/2-All Days,9987867726
V-500CK,150221415,KA57F0956,V-500CK/5-All Days,9987867264
V-335E,150219855,KA57F0911,V-335E/44-All Days,9987868277
V-500CA,150220349,KA57F0805,V-500CA/8-Week Days,8828031236
V-360B,150220272,KA01F9109,V-360B/19-Week Days,8828028673
KBS-1I,150221905,KA01F9569,KBS-1I/17-All Days,8828031205
V-500D,150222261,KA01F4380,V-500D/39-All Days,8828031046
V-500K,150221910,KA01F4383,V-500K/23-All Days,8828030990
V-342F,150220148,KA01FA2289,V-342F/7-All Days,8828028697
V-360B,150221620,KA57F1099,V-360B/17-Holiday,8828031239
KBS-1I,150218856,KA57F0005,KBS-1I/19-All Days,9987886119
V-500CA,150220747,KA57F0804,V-500CA/7-Holiday,8828031229
V-500CA,150220939,KA57F1138,V-500CA/9-Week Days,8828028695
V-500A,150220181,KA01F9560,V-500A/6-Holiday,8828028672
V-360B,150221460,KA01F9005,V-360B/13-Holiday,8828031049
400A,150219049,KA57F0014,400A/1-Week Days,9987887682
KBS-3E,150218049,KA01F9451,KBS-3E/11-All Days,9987898322
V-335E,150222066,KA57F1286,V-335E/37-All Days,9987867881
V-502G,150220227,KA57F1188,V-502G/4-All Days,9987868039
V-500K,150218124,KA01F4524,V-500K/26-All Days,9987865911
K-4,150219191,KA57F0626,K-4/11-All Days,9987885121
KBS-1I,150218864,KA01F9552,KBS-1I/20-All Days,8828028495
KBS-1I,150218629,KA01FA1965,KBS-1I/16-Holiday,8828028467
201,150218308,KA57F0466,201/12-All Days,8828028534
KBS-1K,150218427,KA01F9557,KBS-1K/6-All Days,9987885538
V-500CH,150222002,KA01F4530,V-500CH/2-All Days,9987863776
338,150219089,KA01FA0710,338/1-All Days,9987884524
335C,150219362,KA01F2755,335C/1-All Days,9987887353
V-500CA,150220765,KA01F9008,V-500CA/26-All Days,9987869559
V-201R,150218135,KA01F4595,V-201R/1-All Days,9987868774
308B,150218840,KA01FA1496,308B/2-All Days,9987885456
V-500K,150220775,KA01F4405,V-500K/12-All Days,8828031179
KIAS-10,150221965,KA57F0281,KIAS-10/2-All Days,9987874665
V-500K,150219476,KA01FA2124,V-500K/8-Holiday,9987869414
V-505,150222246,KA57F1044,V-505/1-Week Days,9987863450
V-335EK,150221697,KA01FA1935,V-335EK/7-Holiday,9987873022
SBS-1K,150222937,KA01FA2281,SBS-1K/14-All Days,8828028520
KIAS-10,150221398,KA57F0188,KIAS-10/3-All Days,9987874452
KBS-1K,150218264,KA01F9546,KBS-1K/7-All Days,9987884793
V-365J,150220799,KA01FA1753,V-365J/3-Week Days,9987872845
V-365J,150219895,KA01FA1932,V-365J/2-Week Days,9987862262
V-500CK,150220266,KA57F0127,V-500CK/19-Holiday,9987865837
V-500CH,150219641,KA01FA1765,V-500CH/1-All Days,9987873064
V-500A,150221088,KA01FA1844,V-500A/14-Week Days,9987863793
V-500P,150221339,KA01FA1638,V-500P/2-All Days,9987862275
V-201R,150219218,KA01F8958,V-201R/3-All Days,9987863750
PK-333L,150220835,KA01FA1548,PK-333L/4-Holiday,8828031218
V-500CA,150221489,KA01FA1384,V-500CA/43-All Days,8828031311
139,150218988,KA57F0556,139/1-All Days,9987884811
V-500CA,150221678,KA01FA1933,V-500CA/40-All Days,9987869155
356CW,150218641,KA57F0600,356CW/7-All Days,8828031225
V-600NL,150222266,KA57F1275,V-600NL/4-All Days,9987869221
MBS-2,150219182,KA57F0284,MBS-2/2-All Days,9987885229
138,150218429,KA01F9493,138/2-All Days,9987884857
KBS-1I,150219852,KA01F8630,KBS-1I/22-All Days,8828028510
V-500CA,150219968,KA01F4320,V-500CA/32-Holiday,8828031260
330,150220192,KA01F4761,330/11-Holiday,8828028501
MF-7,150221662,KA01FA0848,MF-7/2-All Days,8828028502
V-342F,150219598,KA01FA2290,V-342F/6-All Days,8828031267
201U,150220226,KA01F8718,201U/6-All Days,8828028561
V-500KE,150220861,KA57F0996,V-500KE/8-Holiday,8828031050
V-500F,150220260,KA57F1098,V-500F/1-Week Days,8828028674
319E,150218319,KA01FA1871,319E/1-Week Days,8828028580
144E,150221479,KA01F4758,144E/5-All Days,8828028490
V-360B,150221677,KA01F9106,V-360B/2-Week Days,8828031246
V-360B,150221872,KA01F9092,V-360B/23-Week Days,8828031284
MF-5,150221315,KA01FA1320,MF-5/1-All Days,8828028527
V-500BM,150221957,KA57F0785,V-500BM/1-All Days,9987867241
MF-7,150220863,KA01FA0849,MF-7/4-All Days,8828028518
V-500KE,150220333,KA57F1209,V-500KE/5-All Days,9987867738
335J,150221713,KA01F3967,335J/1-Holiday,8828028579
V-335E,150222894,KA57F0972,V-335E/20-All Days,9987867594
201MJ,150219067,KA01F3357,201MJ/1-All Days,9987885258
SBS-1K,150218910,KA01FA2285,SBS-1K/7-All Days,8828028530
143,150218992,KA01FA0084,143/5-All Days,9987885402
SBS-1K,150218973,KA01FA2237,SBS-1K/15-All Days,9987884495
314,150218749,KA01FA1269,314/1-All Days,9987885038
C-365,150221040,KA57F0115,C-365/23-All Days,9987862322
C-500CK,150220470,KA57F0095,C-500CK/13-All Days,9987873067
SBS-1K,150218530,KA01FA2084,SBS-1K/11-All Days,9987885013
C-500A,150220744,KA57F0315,C-500A/20-All Days,9987869873
314G,150218528,KA01FA1425,314G/2-All Days,9987886158
316D,150219864,KA01FA1349,316D/2-All Days,9987887268
314P,150219035,KA01FA0120,314P/1-All Days,8828028494
KBS-1K,150221786,KA01F9538,KBS-1K/5-All Days,9987884759
500C,150218758,KA57F0706,500C/3-All Days,9987885683
314B,150218267,KA01FA1881,314B/1-Saturday,9987885085
314FA,150218082,KA01F4360,314FA/1-All Days,9987886762
C-500CK,150221805,KA57F0114,C-500CK/11-All Days,9987862358
138,150219010,KA01FA0047,138/3-Holiday,9987885283
505E,150219622,KA57F0048,505E/10-All Days,8828028540
V-500D,150219651,KA01F8820,V-500D/30-Week Days,8828028691
201M,150222933,KA01F9364,201M/3-Holiday,8828028479
V-342F,150219428,KA01FA1344,V-342F/2-All Days,8828031275
KBS-1K,150220210,KA57F0302,KBS-1K/8-All Days,8828028504
KBS-1I,150218862,KA01F9585,KBS-1I/15-All Days,9987884948
406,150220636,KA57F0143,406/2-All Days,9987899133
315,150219023,KA01FA1827,315/2-Holiday,9987884423
505E,150218506,KA01F9492,505E/1-All Days,9987887018
145,150219178,KA01F9366,145/5-All Days,9987898368
356CB,150221032,KA57F0470,356CB/2-All Days,9987899581
348C,150220141,KA57F0445,348C/1-All Days,9987899489
29B,150220196,KA01F9387,29B/1-All Days,9987899682
330A,150218578,KA57F0520,330A/1-Holiday,9987898326
KBS-3A,150222534,KA57F1166,KBS-3A/42-All Days,9987891569
KBS-3C,150219969,KA57F1139,KBS-3C/7-All Days,9987898967
KIAS-8,150220671,KA57F1047,KIAS-8/1-All Days,9987862769
KBS-3A,150219118,KA57F0839,KBS-3A/28-All Days,9987891093
V-335EK,150219780,KA01F9026,V-335EK/15-Week Days,9987862814
V-500DA,150221567,KA01FA2266,V-500DA/2-All Days,9987862960
129,150219057,KA01FA0395,129/7-Week Days,9987891522
276,150218378,KA53F0063,276/28-Holiday,9987890816
KIAS-8,150219967,KA57F1074,KIAS-8/3-All Days,8828031335
341,150218829,KA57F0082,341/2-All Days,9987891047
112,150222681,KA01FA0453,112/3-All Days,9987889067
13C,150218268,KA57F0297,13C/3-All Days,9987891451
161D,150218389,KA01FA1285,161D/2-All Days,60
V-226WF,150221660,KA01F8799,V-226WF/1-All Days,9987868014
V-500CA,150220043,KA57F1279,V-500CA/37-All Days,9987868016
501A,150218965,KA01FA1359,501A/11-All Days,9987889108
G-3,150221331,KA01FA2150,G-3/4-All Days,9987898262
201,150219844,KA01F9436,201/1-All Days,9987899432
330,150218900,KA57F0291,330/2-All Days,9987891209
27E,150222309,KA01F9427,27E/2-All Days,9987899511
210W,150219068,KA01F9399,210W/2-All Days,9987891239
333,150219092,KA01F9468,333/5-Week Days,9987889513
342F,150218603,KA57F0503,342F/10-All Days,9987839572
43H,150221936,KA01F9428,43H/1-All Days,9987895952
600QA,150218138,KA57F0262,600QA/2-All Days,9987839779
27,150218396,KA57F0171,27/2-All Days,9987889800
349,150220245,KA57F0051,349/1-All Days,9987895520
13B,150219197,KA01F9408,13B/3-All Days,9987889545
27A,150218942,KA57F0446,27A/1-All Days,9987889985
268,150219790,KA01FA1216,268/1-All Days,9987836532
356CW,150218990,KA57F0272,356CW/2-All Days,9987890323
328,150221947,KA57F0077,328/1-All Days,9987899321
210KA,150219210,KA01F3735,210KA/2-All Days,9987837204
37,150219005,KA01F3994,37/2-Holiday,9987865073
G-3,150220127,KA01FA2250,G-3/6-All Days,9987864470
500F,150222413,KA01FA0264,500F/14-All Days,9987836508
336B,150222655,KA01FA0568,336B/1-All Days,9987839526
201P,150221120,KA01FA1007,201P/1-All Days,9987864096
MKT-5H,150219388,KA57F1169,MKT-5H/2-All Days,9987840267
MKT-5H,150222769,KA57F1370,MKT-5H/1-All Days,9987836893
368,150219288,KA01FA1226,368/1-All Days,9987839463
KBS-3A,150218858,KA57F1167,KBS-3A/29-All Days,9987836502
KBS-5H,150222134,KA57F1337,KBS-5H/3-All Days,9987837051
145,150221329,KA01F3922,145/1-All Days,9987838995
201,150220110,KA57F0838,201/14-All Days,8828028480
KBS-3A,150220964,KA57F1172,KBS-3A/33-All Days,9987864916
201,150218059,KA01F8765,201/16-All Days,8828028471
334E,150220657,KA57F0806,334E/3-All Days,8828031189
150,150220698,KA01FA0038,150/5-Saturday,9987895561
334E,150221269,KA01F9545,334E/2-All Days,8828028557
143,150222592,KA01FA0438,143/7-Week Days,9987891612
86,150219139,KA01FA0284,86/1-Week Days,9987889357
330C,150218982,KA01F4800,330C/2-All Days,8828031210
37,150221829,KA01FA1008,37/6-All Days,9987899829
201Q,150221573,KA01F9418,201Q/2-All Days,8828028521
89C,150221332,KA01FA0798,89C/3-All Days,9987895718
81,150218453,KA01F3943,81/1-All Days,9987891592
SBS-1K,150222174,KA01FA2130,SBS-1K/6-All Days,8828031184
213R,150221659,KA01FA0486,213R/1-All Days,9987896027
201D,150220242,KA01F4393,201D/1-All Days,8828028513
333,150221758,KA01FA0209,333/2-All Days,9987899716
339A,150219199,KA01FA0107,339A/1-All Days,8828031207
45D,150221915,KA01FA0372,45D/13-All Days,9987890116
13E,150222572,KA01FA1823,13E/4-All Days,9987891938
139,150220300,KA57F0837,139/2-All Days,8828031202
335B,150220849,KA01FA0339,335B/1-All Days,8828028514
361C,150218459,KA01FA0121,361C/17-All Days,9987890239
MF-7,150221093,KA01FA1704,MF-7/1-All Days,8828031194
K-4,150220026,KA57F0621,K-4/1-All Days,8828028499
MBS-2,150222700,KA57F0667,MBS-2/4-All Days,8828028466
139,150219051,KA01F9584,139/3-All Days,9987884665
C-500CK,150219256,KA57F0016,C-500CK/9-All Days,9987868525
138,150218030,KA01F9372,138/4-All Days,9987885051
C-365,150220032,KA57F0032,C-365/19-All Days,9987868645
201J,150219319,KA01F9532,201J/12-All Days,8828031204
C-500CA,150221362,KA57F0096,C-500CA/45-Holiday,9987863726
201N,150221748,KA57F0013,201N/2-All Days,8828031224
314D,150218839,KA57F0307,314D/2-All Days,9987886343
C-365,150221993,KA57F0035,C-365/20-All Days,9987874334
138A,150219169,KA01F9283,138A/3-Holiday,9987884534
C-500CA,150221275,KA57F0034,C-500CA/43-All Days,9987868305
K-4,150218772,KA57F0623,K-4/3-All Days,9987884434
304A,150218456,KA57F0309,304A/1-All Days,9987886244
C-500A,150219284,KA57F0036,C-500A/16-All Days,9987874289
314M,150220705,KA01F9444,314M/2-All Days,8828028476
310A,150218343,KA01F9448,310A/1-All Days,8828028463
13C,150222603,KA57F0144,13C/2-All Days,9987891547
266B,150222177,KA57F0070,266B/1-All Days,9987899668
PK-504,150222494,KA01F9483,PK-504/1-All Days,9987884994
MBS-2,150218755,KA57F0665,MBS-2/3-All Days,9987885642
201M,150218830,KA57F0047,201M/8-All Days,9987884484
340A,150221577,KA01FA1858,340A/1-All Days,9987899803
C-365,150220894,KA57F0277,C-365/22-All Days,9987873579
C-365,150222391,KA01F9318,C-365/24-All Days,9987874237
SBS-13K,150222217,KA01F9574,SBS-13K/4-All Days,8828028470
SBS-1K,150218821,KA01FA2161,SBS-1K/13-All Days,8828031208
314BM,150218281,KA01F9022,314BM/1-All Days,9987887067
JPV-314,150220453,KA57F0335,JPV-314/3-Week Days,8828028505
K-4,150221473,KA57F0622,K-4/2-All Days,8828028537
201MD,150221399,KA01FA2006,201MD/1-All Days,8828028472
138,150221000,KA57F0601,138/1-Holiday,8828028512
308,150220038,KA01F4546,308/2-All Days,8828028489
201,150219069,KA01F9443,201/13-All Days,9987887107
K-1,150219771,KA01F8894,K-1/4-All Days,8828031201
305F,150219113,KA01F8600,305F/2-Holiday,9987885979
145,150222319,KA01FA1196,145/4-All Days,9987887291
143,150219384,KA01FA0211,143/1-Holiday,9987887518
310C,150220001,KA01FA0183,310C/1-Week Days,8828028475
137,150220092,KA01FA1419,137/5-Holiday,8828031221
500F,150219648,KA42F1674,500F/11-Week Days,8828028487
317A,150220009,KA53F0065,317A/2-Week Days,8828028515
JPV-138,150220722,KA53F0041,JPV-138/9-Week Days,8828031192
356CW,150221135,KA01F9282,356CW/8-All Days,8828028529
314B,150221471,KA01F4388,314B/3-All Days,9987886606
500D,150218628,KA01FA2002,500D/60-Week Days,9987887410
JPV-314A,150218261,KA42F1709,JPV-314A/7-Holiday,8828028486
314A,150222677,KA01FA0474,314A/2-All Days,8828031187
314H,150220250,KA57F0303,314H/1-All Days,9987887550
314B,150218563,KA57F0007,314B/5-All Days,9987886728
K-4,150221241,KA57F0624,K-4/4-All Days,8828028562
G-4,150219160,KA01FA2277,G-4/4-All Days,9987898325
25C,150218928,KA01FA0277,25C/1-All Days,9987889635
501A,150220057,KA01FA2008,501A/20-All Days,9987895982
501A,150221483,KA01FA1335,501A/21-All Days,9987895432
141E,150218552,KA01FA0180,141E/1-All Days,9987889326
127,150218869,KA01FA0661,127/4-All Days,9987891642
168E,150218776,KA01FA0040,168E/2-All Days,9987889581
144K,150222193,KA01FA0478,144K/2-All Days,9987899629
214G,150219044,KA01FA0630,214G/2-All Days,9987890256
G-4,150221228,KA01FA2279,G-4/11-All Days,9987898426
G-2,150222330,KA01FA2220,G-2/9-All Days,9987899685
143,150219644,KA01FA0417,143/4-All Days,9987895261
143,150220178,KA01FA0538,143/2-All Days,9987895916
285M,150221864,KA01FA1940,285M/20-Week Days,9987899632
PK-37,150220471,KA53F0015,PK-37/5-Holiday,9987895627
43A,150221676,KA01F3602,43A/3-All Days,9987899422
141E,150218121,KA01FA0009,141E/3-All Days,9987898417
16,150218241,KA01F3949,16/3-All Days,9987899781
G-3A,150220109,KA01FA2252,G-3A/3-All Days,9987899813
362D,150220514,KA01FA1967,362D/1-All Days,9987899703
