Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
V-335EV,150219803,KA01FA1760,V-335EV/6-Week Days,9987896461
V-195,150220986,KA01FA1615,V-195/2-All Days,9987893285
V-335EK,150219757,KA01FA1511,V-335EK/4-All Days,9987893119
V-335E,150220872,KA01FA2051,V-335E/14-All Days,9987894697
V-335EV,150221157,KA01FA2272,V-335EV/7-All Days,9987896305
V-335E,150220288,KA01FA1396,V-335E/45-All Days,9987894841
V-335EP,150221556,KA01FA1635,V-335EP/7-Week Days,9987897717
Bengaluru Darshini Service,150221648,KA01F3973,Bengaluru Darshini Service/All Days,9987897438
V-356C,150221246,KA01F8818,V-356C/5-All Days,9987898068
V-335EV,150218375,KA01F3975,V-335EV/3-All Days,9987897330
V-335EV,150221061,KA01F8822,V-335EV/1-Holiday,9987896240
V-335E,150220928,KA01FA1297,V-335E/25-All Days,9987897209
V-365,150221900,KA01F4601,V-365/2-Week Days,9987896751
V-335EK,150220813,KA01F8793,V-335EK/2-Week Days,9987893688
V-365,150221389,KA01FA0585,V-365/11-All Days,9987893921
V-360B,150219924,KA01FA0429,V-360B/25-All Days,9987894933
V-335E,150221512,KA01F4523,V-335E/12-Week Days,9987893901
V-356,150220430,KA01FA1680,V-356/10-All Days,9987891966
V-365,150219958,KA01FA1383,V-365/15-All Days,9987893071
V-335E,150218386,KA01FA1390,V-335E/34-Week Days,9987894704
V-195,150220095,KA01FA0345,V-195/1-All Days,9987895026
V-335EP,150221078,KA01F8839,V-335EP/8-Holiday,9987896953
V-335E,150220767,KA01FA0432,V-335E/5-All Days,9987893279
V-356,150221429,KA57F1115,V-356/1-Week Days,9987897809
V-356,150221163,KA57F1251,V-356/4-Week Days,9987892773
V-356,150221612,KA01FA1407,V-356/9-All Days,9987896329
V-335EK,150221847,KA01F8832,V-335EK/1-Holiday,9987896716
V-335EV,150219868,KA57F1174,V-335EV/5-Holiday,9987892564
KIAS-9,150221516,KA01F9498,KIAS-9/1-All Days,9987887914
V-365,150218188,KA01F3919,V-365/1-All Days,9987896915
V-360B,150221714,KA01FA0346,V-360B/18-All Days,9987896741
500,150222905,KA01FA0325,500/9-All Days,9987794468
KIAS-8C,150218122,KA57F0325,KIAS-8C/4-All Days,9987898021
V-MF-11,150221309,KA01F4597,V-MF-11/1-All Days,9987896657
V-335E,150220357,KA01F4529,V-335E/31-Week Days,8828031165
KIAS-9,150218303,KA01F9529,KIAS-9/5-All Days,9987898122
V-365,150221696,KA57F1173,V-365/25-Week Days,9987897911
V-365,150221868,KA01F8817,V-365/8-All Days,9987894464
V-335EK,150218166,KA57F1206,V-335EK/5-Week Days,9987893303
V-356,150221978,KA01F9528,V-356/5-Holiday,9987896452
V-360B,150220840,KA01F9526,V-360B/39-Week Days,9987893465
V-360B,150220118,KA01FA1337,V-360B/24-All Days,9987893738
V-356,150220961,KA57F1252,V-356/8-Week Days,9987897605
V-356C,150221484,KA01FA0589,V-356C/6-All Days,9987897515
V-335E,150221715,KA57F0901,V-335E/51-Holiday,9987895034
V-500BM,150219696,KA57F1262,V-500BM/2-Holiday,9987897541
V-356,150219207,KA57F1205,V-356/12-Holiday,9987892447
V-319CT,150221794,KA01F9497,V-319CT/1-Week Days,9987894051
18,150219142,KA57F286,18/9-Week Days,9987803109
V-331A,150220138,KA57F0001,V-331A/1-All Days,8828031169
V-331A,150221725,KA57F0997,V-331A/3-Holiday,8828031331
V-335PE,150221782,KA01F9095,V-335PE/9-All Days,8828031328
V-201R,150219418,KA01F4404,V-201R/6-All Days,9987863018
V-201R,150221144,KA01FA1606,V-201R/5-All Days,9987875097
C-365,150218003,KA57F0207,C-365/26-Week Days,9987863116
